y,x1,x2
1,0.795988026,-0.398658652
1,0.439469293,-0.218618623
0,-1.217466255,0.070166448
1,0.180740015,-0.28234459
1,1.728602515,-0.462619395
1,-0.052957763,0.175837034
1,0.965454854,-0.565004526
0,-0.12582874,0.959399303
1,-0.123108931,0.039126968
0,-0.292782954,1.008252836
0,-0.665435273,0.98473178
0,0.923306982,0.679427342
1,1.295473609,-0.555999897
1,2.066224577,0.453567258
0,0.628089763,0.740781284
1,1.720100121,-0.125382975
0,-0.882521061,0.292168894
0,-0.284949115,0.887197575
0,-0.865527628,-0.14606383
0,-0.380726045,1.072343878
1,0.44410248,-0.500433408
0,-0.574506413,0.715977347
0,0.507812814,0.930532173
1,1.376583769,-0.363953822
0,-0.911249267,0.33638591
1,0.138354667,0.424821784
1,0.850978874,-0.633670759
1,0.586448388,-0.418888395
0,0.007096354,0.932617585
1,0.647934798,-0.268221701
1,0.040827536,-0.14198406
0,0.905303849,0.2886327
1,-0.000334197,0.27062855
0,0.502719299,0.894384078
0,1.087676368,0.541413621
0,0.08647712,0.917592192
0,-0.955480332,0.167480194
0,0.323354894,0.950565231
0,-0.864411563,-0.037432089
0,0.823219251,0.235416447
0,0.536448273,0.877831393
1,1.830048838,0.119443327
1,0.157856131,0.143353181
1,2.03651096,0.21587665
0,-0.892839484,-0.058098589
0,-0.431113129,0.903065999
0,-0.663488955,0.959863777
0,-0.124151559,1.022354972
0,0.778121734,0.531517284
1,1.473081235,-0.54548289
0,0.085765415,1.02457325
1,0.642540203,-0.576068774
1,1.837748312,-0.307461502
0,0.735503806,0.720594972
0,-1.261752806,0.189712563
0,0.796450011,0.616772204
0,-0.918081472,0.400059351
0,1.087883563,0.365218886
1,2.164677623,0.101942724
1,1.080577033,-0.70024277
1,1.997370743,0.431421483
0,0.815734675,0.13739027
1,2.125916437,0.424846856
0,0.647001628,0.5821036
0,0.314570377,0.991250485
1,0.579549855,-0.374496686
1,0.039584193,0.232770316
1,0.008163011,0.40831363
0,0.237711082,1.001134708
0,1.047823215,0.311533588
0,0.283877489,1.00459452
0,0.178618665,0.89026921
1,0.099120358,0.153399353
1,0.932348325,-0.563241579
1,0.811485926,-0.459265967
0,0.265550954,1.095530008
0,-0.558104338,0.866586796
0,0.358802045,0.930509867
0,0.449641692,0.891303206
1,2.210450116,0.401451583
0,-0.93351798,0.166828331
0,-0.673428878,0.733879265
1,2.110993969,0.491504981
0,1.045524251,0.386331779
0,-0.904266227,0.448048368
1,1.641912453,-0.20098272
1,1.812547681,0.116254803
1,0.779252452,-0.550628574
1,1.852885342,-0.316369171
0,-0.217299934,0.994568527
1,1.62143471,-0.191312573
0,0.034740901,0.980483342
0,0.585204657,0.777570668
0,0.593961772,0.663063508
1,0.426704815,-0.300640402
1,0.346219463,-0.472482643
0,-0.960603546,0.482989323
1,1.478971515,-0.389630861
1,0.618958354,-0.51776154
1,1.839078862,-0.139217548
1,1.65061339,-0.354555709
0,-1.123941272,0.069017747
1,0.074984536,0.365437662
1,0.772721392,-0.535004171
0,-1.214296393,0.253054863
1,2.036918517,0.451999841
1,0.891007628,-0.435129011
1,0.084392895,0.178334794
1,1.350365175,-0.478456922
0,1.034019794,0.250465645
1,0.750505881,-0.287118406
1,0.05865722,0.079943332
1,1.172750783,-0.50344137
1,1.705858947,0.058329196
1,1.703305114,-0.212348762
0,0.000414094,1.09610245
1,1.234363451,-0.417802275
1,1.716864721,0.112930127
0,-1.049937502,0.210150088
1,0.388711594,-0.428503089
0,0.240315057,0.965030451
0,0.408587016,0.91462487
1,0.575724733,-0.340577985
1,1.369507268,-0.404955842
1,1.835759075,0.219879832
1,1.70989974,-0.078765994
0,0.437954207,0.812390762
1,1.863579212,0.10380968
0,0.30438696,1.069540625
1,1.682602939,-0.260757519
1,1.522054887,-0.543291443
0,-0.641233567,0.624689012
1,1.257950143,-0.358939968
0,-0.062512952,0.94382387
1,1.868363525,-0.043710559
1,1.979301633,0.196979391
0,-0.636057611,0.659474868
0,1.043428271,-0.054118795
0,0.651375437,0.547138656
1,1.931724475,0.162305052
0,-0.142402769,0.89130256
1,2.184708851,0.200932594
1,0.020594012,-0.113968771
0,-0.687658692,0.57246705
1,0.760837757,-0.47339016
1,1.784585941,-0.273104972
0,-0.535578181,0.884117842
0,0.236040891,0.98109175
0,0.204940684,0.907986087
1,0.895793246,-0.655006655
0,0.199235757,1.000363345
1,0.792308297,-0.518995664
1,1.3508454,-0.346299251
1,0.712772625,-0.535298263
1,0.557254381,-0.409696599
1,0.124777859,0.361068621
0,0.898869443,0.29900736
1,1.507748995,-0.311140761
0,0.974962054,0.113888988
0,-0.130177382,1.012618225
0,0.097118815,0.894358278
1,0.04154361,0.026004949
0,-0.05567592,0.834554804
1,-0.033372702,0.248130664
1,0.110487986,-0.01609561
0,-0.838626599,0.790948783
0,-1.045530911,0.275023797
1,0.100455065,0.080579158
1,1.864149682,0.063414155
1,0.482715839,-0.231008724
0,-0.920425239,0.595347157
1,0.136027607,0.034120129
0,-0.631311081,0.715784456
1,1.455742293,-0.275906182
0,0.119870485,1.022965079
1,1.155169907,-0.7165317
0,-0.830029939,0.518213928
0,-0.940673665,0.502039252
1,0.360869031,-0.326378684
0,-0.759570124,0.661134954
1,1.958756638,0.283262594
1,-0.055750556,0.150515137
1,1.20969729,-0.539870857
0,-0.471151751,0.90243642
1,2.083719766,0.602386847
1,0.536365686,-0.321671755
1,1.601192147,-0.111984763
1,1.251501853,-0.409728816
1,1.993916016,0.427568742
1,0.211122957,-0.24112224
0,0.895706508,0.484087866
1,0.069473596,0.237014499
1,0.031581409,-0.023759791
1,0.361946917,-0.493035661
1,1.419768616,-0.367122508
0,0.670181732,0.654266751
1,0.299698432,-0.090993235
0,-0.15298957,0.906494052
0,-0.22194616,1.068745117
1,0.125327742,0.194456662
0,-0.904660047,0.221729729
0,-0.437799634,0.855951403
0,-0.933736217,0.576480165
1,1.372026032,-0.24589733
1,-0.029541173,0.163188457
0,-0.891539013,0.290729499
0,0.342152962,0.916898578
0,-0.818841036,0.60845403
0,-0.915806552,0.213143756
1,1.309393476,-0.510912771
1,1.760633239,-0.156400501
1,0.020672404,0.338146762
0,-0.291936481,0.893147643
1,0.099652469,0.443892378
1,1.319361018,-0.62608146
0,-0.707395413,0.632656933
1,1.826138204,-0.106840587
1,1.823808686,0.137918769
1,0.060618583,0.101920775
0,-0.593431612,0.832621143
1,1.844675732,-0.263508435
1,1.195193673,-0.307602891
1,1.888374601,-0.065621073
1,0.333162848,-0.358526124
0,0.09170615,1.089829355
0,-0.515994186,0.787053534
1,1.565927762,-0.334449854
0,0.566619628,0.883266419
1,0.968400519,-0.394432103
0,0.081791843,0.972294342
0,1.008928235,-0.012521154
1,0.568212447,-0.633523801
1,0.055743306,0.409911449
0,-0.826752563,0.300260455
1,1.840123161,0.109389446
0,0.065202942,1.00605146
1,1.277749981,-0.3122998
0,-0.00576997,0.91679704
